"set_num","name","year","theme_id","num_parts","img_url","description"
"6384693-1","Little Red Riding Hood Book","2021","157","151","https://cdn.rebrickable.com/media/sets/6384693-1.jpg","
Available as a gift with purchases exceeding RM199 / S$65 from Toys R Us locations in Malaysia and Singapore between October 16 and October 24, 2021Also available as a gift with purchases exceeding AU$100 from LEGO Certified Stores in Australia and the LEGOLAND Discovery Centre in Melbourne, Australia between October 16 and October 22, 2021 (while supplies lasted)
"
"6384694-1","Alice's Adventures in Wonderland Book","2021","157","144","https://cdn.rebrickable.com/media/sets/6384694-1.jpg","
First Bricktober set released initially at a retailer other than Toys R Us.Available as a gift with purchases exceeding S$69 from LEGO Certified Stores in Singapore between October 25 and October 31, 2021 (while supplies lasted).Also available as a gift with purchases exceeding AU$100 from LEGO Certified Stores in Australia and the LEGOLAND Discovery Centre in Melbourne, Australia between October 23 and October 29, 2021 (while supplies lasted)
"
"6384695-1","Jack and the Beanstalk Book","2021","157","149","https://cdn.rebrickable.com/media/sets/6384695-1.jpg","
Available as a gift with purchases exceeding RM199 / S$65 from Toys R Us locations in Malaysia and Singapore between October 8 and October 15, 2021Also available as a gift with purchases exceeding AU$100 from LEGO Certified Stores in Australia and the LEGOLAND Discovery Centre in Melbourne, Australia between October 9 and October 15, 2021 (while supplies lasted)
"
"6384696-1","Hansel and Gretel Book","2021","157","154","https://cdn.rebrickable.com/media/sets/6384696-1.jpg","
Available as a gift with purchases exceeding RM199 / S$65 from Toys R Us locations in Malaysia and Singapore between September 24 and October 7, 2021Also available as a gift with purchases exceeding AU$100 from LEGO Certified Stores in Australia and the LEGOLAND Discovery Centre in Melbourne, Australia between October 2 and October 8, 2021 (while supplies lasted)
"
"6384705-1","TMALL 1st Anniversary Exclusive Set","2021","598","9","https://cdn.rebrickable.com/media/sets/6384705-1.jpg","
Limited edition of 10,000 individually numbered sets
"
"6385-1","Fire House-I","1985","67","416","https://cdn.rebrickable.com/media/sets/6385-1.jpg",""
"6385416-1","Summer Sailboat","2019","408","37","https://cdn.rebrickable.com/media/sets/6385416-1.jpg","
Packaged in a zippered bag with printed instructions folded inside. Known to have been for retail sale at LEGO Brand Store in Hamburg, Germany in September 2021. No information on this set, which is packed more like a traditional make and take event item, is currently known. The set’s year is based on the copyright date on the building instructions.
"
"6385428-1","Trophy","2021","408","20","https://cdn.rebrickable.com/media/sets/6385428-1.jpg","
Small set handed out in the Copenhagen Lego Store. Came packed in a ""service bag"" and the instructions printed on a sheet of A4 paper.Also available at “make and take” events held in the LEGO Brand Store in Utrecht, The Netherlands on October 9, October 15, October 16, October 22 and October 23, 2022 as part of celebration of the newest season of that country’s edition of the LEGO Masters TV show.This set, under the number 6385436, was also available during a series of “make and take” events held in the United States promoting the City Stuntz subtheme. This version contained identical parts but the building instructions were printed on US letter size paper. Known events included:
The LEGO Brand Store in Water Tower Place, Chicago, Illinois on October 8 and October 9, 2022
The LEGO Brand Store Flatiron in New York City, New York on October 22 and October 23, 2022
The flagship LEGO Brand Store on 5th Avenue in New York City, New York on October 22 and October 23, 2022
All events were while supplies lasted and limited to one set per person.
"
"6385434-1","Golden Snitch","2018","246","35","https://cdn.rebrickable.com/media/sets/6385434-1.jpg","
Available as a “make and take” gift during various promotions including:
Canada: Indigo and Chapters bookstores on October 13, 2018 in advance of the launch of the Fantastic Beasts: The Crimes of Grindelwald movie and the movie’s associated sets
United States: Select Barnes and Noble locations on July 13, 2019 promoting the early-release availability of 2019 Harry Potter sets
United Kingdom: LEGO Brand Stores on September 18, September 19, September 25 and September 26, 2011 honoring the 20th anniversary of the Wizarding World of Harry Potter theme
During the Canada and United States events, participants selected loose parts from containers and the building instructions were on printed pages available for review (and to take at some locations). During the United Kingdom events, the set’s parts were pre-sorted into zippered plastic bags and included folded, printed building instructions with both the bag and instructions bearing the set number. The actual building steps and part inventories are identical across all the events.
"
"6385680-1","Series 22 - Sealed Box","2022","718","0","https://cdn.rebrickable.com/media/sets/6385680-1.jpg",""
